No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
1    00:01.411      00:01.430      00:04.938      3.508                 Paused by player, Unpause by player / changed option
15   4:51:11.132    6:07:25.826    6:07:50.921    25.095     25.095     Paused by player, Unpause by player
16   4:51:31.832    6:08:11.637    6:08:53.527    41.890     41.890     Paused by player, Unpause by player
17   4:54:10.382    6:11:32.082    6:11:51.771    19.689     19.689     Paused by player, Unpause by player
18   4:54:29.032    6:12:10.400    6:12:11.861    1.461      1.461      Paused by player, Unpause by player
19   4:54:40.832    6:12:23.665    6:12:25.371    1.706      1.706      Paused by player, Unpause by player
20   4:55:31.632    6:13:16.178    6:13:31.912    15.734     15.734     Paused by player, Unpause by player
21   4:55:44.782    6:13:45.083    6:13:55.373    10.290     10.290     Paused by player, Unpause by player
22   4:56:19.882    6:14:30.449    6:14:30.852    0.403      0.403      Paused by player, Unpause by player
23   4:56:39.482    6:14:50.444    6:14:51.270    0.826      0.826      Paused by player, Unpause by player
24   4:56:40.532    6:14:52.303    6:14:52.623    0.320      0.320      Paused by player, Unpause by player
25   4:56:41.182    6:14:53.314    6:15:06.817    13.503     13.503     Paused by player, Unpause by player
26   4:56:45.032    6:15:10.687    6:15:20.211    9.524      9.524      Paused by player, Unpause by player
27   4:57:17.882    6:15:53.043    6:15:53.470    0.427      0.427      Paused by player, Unpause by player
28   4:57:36.282    6:16:11.894    6:16:57.808    45.914     45.914     Paused by player, Unpause by player
29   4:57:43.632    6:17:05.188    6:17:36.149    30.961     30.961     Paused by player, Unpause by player
30   5:02:04.082    6:21:56.573    6:21:56.774    0.201      0.201      Paused by player, Unpause by player
31   5:04:44.882    6:24:37.562    6:24:37.965    0.403      0.403      Paused by player, Unpause by player
32   5:05:41.982    6:25:35.077    6:25:48.319    13.242     13.242     Paused by player, Unpause by player
33   5:09:13.682    6:29:20.030    6:29:21.051    1.021      1.021      Paused by player, Unpause by player
34   5:09:59.932    6:30:07.280    6:30:14.600    7.320      7.320      Paused by player, Unpause by player
35   5:10:00.332    6:30:15.017    6:30:18.958    3.941      3.941      Paused by player, Unpause by player
36   5:10:43.582    6:31:02.166    6:31:03.051    0.885      0.885      Paused by player, Unpause by player
1    5:11:23.782    6:31:43.237    6:33:44.987    121.750               Paused by leave the world, Unpause by rendered
2    5:12:28.447    6:34:49.654    6:34:53.518    3.864      3.864      Paused by player, Unpause by player
3    5:12:28.847    6:34:53.925    6:34:59.999    6.074      6.074      Paused by player, Unpause by player
4    5:14:37.147    6:37:08.280    6:37:42.340    34.060     34.060     Paused by player, Unpause by player
0    5:21:01.347    6:44:06.586    16:37:00.441   35573.855             Paused by player, Unpause by rendered
1    6:05:27.005    17:21:26.091   17:21:26.379   0.288      0.288      Paused by player, Unpause by player
0    6:05:27.455    17:21:26.818   17:29:15.485   468.667               Paused by player, Unpause by rendered
1    6:09:34.600    17:33:22.645   17:33:42.268   19.623     19.623     Paused by player, Unpause by player
0    6:16:03.900    17:40:11.549   22:47:52.262   18460.713             Paused by player, Unpause by rendered
1    6:17:21.308    22:49:09.665   22:49:11.204   1.539      1.539      Paused by player, Unpause by player
